make,wheel_base,engine_size,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price
alfa-romero,88.6,130,3.47,2.68,9.0,111,5000,21,27,13495
alfa-romero,88.6,130,3.47,2.68,9.0,111,5000,21,27,16500
alfa-romero,94.5,152,2.68,3.47,9.0,154,5000,19,26,16500
audi,99.8,109,3.19,3.4,10.0,102,5500,24,30,13950
audi,99.4,136,3.19,3.4,8.0,115,5500,18,22,17450
audi,105.8,136,3.19,3.4,8.5,110,5500,19,25,15250
bmw,101.2,108,3.5,2.8,8.8,101,5800,23,29,16430
bmw,101.2,108,3.5,2.8,8.8,101,5800,23,29,16925
bmw,101.2,164,3.31,3.19,9.0,121,4250,21,28,20970
chevrolet,88.4,61,2.91,3.03,9.5,48,5100,47,53,5151
chevrolet,94.5,90,3.03,3.11,9.6,70,5400,38,43,6295
dodge,93.7,90,2.97,3.23,9.4,68,5500,37,41,5572
dodge,93.7,90,2.97,3.23,9.4,68,5500,31,38,6377
honda,86.6,92,2.91,3.41,9.6,58,4800,49,54,6479
honda,86.6,92,2.91,3.41,9.2,76,6000,31,38,6855
honda,96.5,110,3.15,3.58,9.0,86,5800,27,33,7295
toyota,95.7,92,3.05,3.03,9.0,62,4800,35,39,5348
toyota,95.7,92,3.05,3.03,9.0,62,4800,31,38,6338
toyota,104.5,156,3.27,3.35,9.2,156,5200,20,24,15690
volkswagen,97.3,109,3.19,3.4,9.0,85,5250,27,34,7975
volkswagen,97.3,109,3.19,3.4,9.0,85,5250,27,34,8195
